batter,phase,runs,balls,dismissals,strike_rate,avg
CH Gayle,Middle,2011,1288,46,156.13,43.72
CH Gayle,Powerplay,2405,1774,65,135.57,37.0
CH Morris,Death,499,298,20,167.45,24.95
CJ Anderson,Death,175,105,10,166.67,17.5
CJ Anderson,Middle,311,257,8,121.01,38.88
CL White,Death,363,193,10,188.08,36.3
CL White,Middle,501,451,18,111.09,27.83
CL White,Powerplay,107,116,7,92.24,15.29
D Brevis,Middle,347,228,10,152.19,34.7
D Padikkal,Middle,909,706,33,128.75,27.55
D Padikkal,Powerplay,894,700,29,127.71,30.83
DA Miller,Death,1429,827,49,172.79,29.16
DA Miller,Middle,1629,1336,34,121.93,47.91
DA Miller,Powerplay,98,110,7,89.09,14.0
DA Warner,Death,628,355,27,176.9,23.26
DA Warner,Middle,2621,1944,63,134.83,41.6
DA Warner,Powerplay,3318,2403,74,138.08,44.84
DB Das,Middle,129,111,2,116.22,64.5
DB Ravi Teja,Death,169,122,15,138.52,11.27
DB Ravi Teja,Middle,153,137,3,111.68,51.0
DJ Bravo,Death,909,522,40,174.14,22.72
DJ Bravo,Middle,528,572,24,92.31,22.0
DJ Bravo,Powerplay,123,110,5,111.82,24.6
DJ Hooda,Death,466,320,37,145.62,12.59
DJ Hooda,Middle,867,689,36,125.83,24.08
DJ Hooda,Powerplay,164,164,8,100.0,20.5
DJ Hussey,Death,410,233,18,175.97,22.78
DJ Hussey,Middle,778,727,27,107.02,28.81
DJ Hussey,Powerplay,134,115,3,116.52,44.67
DJ Mitchell,Middle,208,151,9,137.75,23.11
DJG Sammy,Middle,151,140,4,107.86,37.75
DP Conway,Middle,521,342,9,152.34,57.89
DP Conway,Powerplay,463,368,11,125.82,42.09
DPMD Jayawardene,Death,374,235,12,159.15,31.17
DPMD Jayawardene,Middle,823,728,29,113.05,28.38
DPMD Jayawardene,Powerplay,611,501,23,121.96,26.57
DR Smith,Death,168,111,16,151.35,10.5
DR Smith,Middle,1004,677,38,148.3,26.42
DR Smith,Powerplay,1213,976,27,124.28,44.93
DT Christian,Death,309,223,20,138.57,15.45
DT Christian,Middle,148,167,7,88.62,21.14
DW Steyn,Death,163,151,21,107.95,7.76
Dhruv Jurel,Death,464,258,14,179.84,33.14
Dhruv Jurel,Middle,340,255,10,133.33,34.0
E Lewis,Middle,202,170,10,118.82,20.2
E Lewis,Powerplay,420,286,13,146.85,32.31
EJG Morgan,Death,516,314,25,164.33,20.64
